unique,artist,title,month_year_top,instruments,intended_reaction,volume,services,translations,simplicity,monthly_listeners,merch_sold,tickets_sold,duration_listene,views_song,articles,speed,lyrical_tone,lyrical_tone.1,year,common_genre,intended_age,awards_won,billboard_hot_100,music_video_4
TPS170,Justin Bieber,Sorry,42278,6,5,-4,2,14,2,73,800000,1000000,3,3600000000,50,100,3,3,2015,10,15,0,8,0
TPS171,Marshmello & Bastille,Happier,43313,7,9,-3,3,11,3,39,200000,400000,3,500000000,10,100,3,3,2018,2,15,0,7,1
TPS172,Rihanna,Don't Stop The Music,39295,5,2,-6,3,12,1,68,600000,800000,4,1500000000,50,123,6,7,2007,2,15,1,8,1
TPS173,Adele,Easy On Me,44470,5,6,-8,2,14,2,64,600000,1000000,4,400000000,50,142,2,3,2021,2,15,0,8,1
TPS174,OneRepublic,I Ain't Worried,44713,7,6,-6,3,8,2,50,200000,500000,3,300000000,30,140,7,7,2022,7,15,0,5,0
TPS175,Uncle Kracker,Follow Me,36951,6,4,-5,3,7,1,3,30000,100000,3,100000000,5,105,7,4,2001,3,15,0,7,0
TPS176,50 Cent & Olivia,Candy Shop,38384,5,1,-8,2,9,1,22,50000,100000,4,300000000,2,125,8,6,2005,1,18,0,7,0
TPS177,Christina Aguilera Lil' Kim Mya & P!nk,Lady Marmalade (Voulez-Vous Coucher Aver Moi Ce Soir?),36982,8,6,-4,5,12,1,9,80000,100000,4,200000000,10,110,6,7,2001,2,18,0,7,1
TPS178,Sia,Chandelier,41699,6,5,-3,2,14,2,38,200000,400000,4,900000000,20,117,3,3,2014,2,15,0,8,1
TPS179,P!nk,Get The Party Started,37165,4,2,-3,4,9,1,28,300000,400000,4,400000000,20,129,8,7,2001,2,15,0,8,1
TPS180,The Chainsmokers & Daya,Don't Let Me Down,42401,8,3,-5,4,11,1,35,400000,400000,3,1300000000,15,160,4,4,2016,10,15,0,8,0
TPS181,Halsey,Without Me,43374,6,6,-7,3,12,2,44,300000,300000,4,800000000,30,136,4,7,2018,2,15,0,9,0
TPS182,Lenny Kravitz,Again,36800,9,7,-5,3,8,2,9,50000,100000,4,200000000,5,79,6,3,2000,4,15,0,7,1
TPS183,Fat Joe & Ahanti,What's Luv?,37288,8,2,-5,2,9,1,6,100000,100000,3,200000000,10,94,5,7,2002,3,15,0,6,1
TPS184,Blu Cantrell,Hit 'em Up Style (Oops!),37012,5,2,-5,4,7,1,1,30000,50000,3,200000000,5,90,4,7,2001,1,18,0,6,0
TPS185,Maroon 5 & Christina Aguilera,Moves Like Jagger,40725,6,1,-4,2,13,1,47,400000,300000,4,1400000000,10,128,8,7,2011,2,15,0,9,0
TPS186,OMI,Cheerleader,41944,8,2,-6,2,10,1,7,40000,100000,3,300000000,5,100,7,5,2014,8,15,0,7,0
TPS187,Kay Perry,Hot 'n' Cold,39630,7,3,-4,3,12,2,38,400000,600000,3,500000000,30,132,3,5,2008,2,10,0,9,0
TPS188,Creed,Higher,36526,5,4,-6,2,8,1,5,80000,200000,3,200000000,10,156,3,4,2000,5,15,0,6,1
TPS189,Panic! At the Disco,High Hopes,43252,8,5,-3,2,11,2,31,200000,400000,3,700000000,20,82,8,6,2018,2,15,1,8,0
TPS190,Mya,Case Of The Ex (Whatcha Gonna Do),36739,6,6,-5,3,7,1,1,60000,100000,3,200000000,5,98,3,5,2000,1,15,1,6,0
TPS191,Janet Jackson,All For You,36951,7,8,-5,4,9,2,6,200000,400000,3,100000000,20,114,6,6,2001,1,15,0,7,0
TPS192,Usher,U Remind Me,37043,5,3,-5,1,10,1,20,300000,500000,4,400000000,30,94,3,4,2001,1,15,0,8,0
TPS193,Lil Nas X,Montero (Call Me By Your Name),44256,7,4,-7,2,12,2,53,300000,300000,3,600000000,20,179,8,7,2021,3,18,1,9,0
TPS194,Lady GaGa & Colby O'Donis,Just Dance,39600,6,1,-5,3,14,1,51,100000,150000,4,1000000000,5,119,8,8,2008,2,15,0,10,1
TPS195,Meghan Trainor,All About That Bass,41821,4,1,-4,3,13,1,31,150000,300000,3,400000000,15,134,6,5,2014,2,15,0,8,1
TPS196,Rihanna & Calvin Harris,We Found Love,40787,5,8,-4,2,14,1,68,500000,800000,4,1500000000,25,128,7,6,2011,2,15,1,10,1
TPS197,Teddy Swims,Lose Control,45139,9,3,-4,3,7,2,12,60000,100000,3,100000000,3,160,3,3,2023,3,15,0,5,1
TPS198,Ja Rule & Ashanti,Always On Time,37196,8,3,-8,2,9,2,8,150000,200000,4,200000000,10,97,7,6,2001,3,18,0,7,1
TPS199,Sam Smith,Stay With Me,41730,5,8,-6,3,13,1,56,200000,400000,3,600000000,15,84,4,3,2014,2,15,0,8,0
TPS200,Wiz Khalifa & Charlie Puth,See You Again,42064,4,8,-8,3,14,3,48,300000,400000,4,3500000000,20,80,3,6,2015,3,15,1,10,1
